Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 1.00000	 0.78493	 0.88460	 0.88453
       2	 0.99331	 0.65781	 0.68920	 1.21967
       3	 1.00000	 0.56500	 0.56500	 1.11964
       4	 1.00000	 0.50802	 0.54540	 0.74254
       5	 0.99733	 0.93422	 0.95050	 1.23302
       6	 0.98720	 0.85466	 0.95430	 0.91345
       7	 0.77531	 0.27070	 0.27070	 0.69681
       8	 0.99984	 0.65370	 1.41850	 1.37447
       9	 1.00000	 0.52480	 0.52480	 2.92006
      10	 1.00000	 0.81348	 0.84110	 2.13886
      11	 0.96123	 0.79788	 1.07710	 1.18845
      12	 1.00000	 0.56170	 0.56170	 0.89678
      13	 1.00000	 0.56130	 0.56130	 0.73665
     All	 0.98459	 0.83937	 1.00000	 1.21763
