Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 0.97841	 0.81470	 0.84270	 1.42656
       2	 0.99894	 0.56610	 0.56610	 1.15162
       3	 0.98203	 0.49901	 1.84150	 1.15200
       4	 0.96682	 0.65269	 1.32310	 1.20051
       5	 0.55299	 0.56140	 0.56140	 1.24210
       6	 0.94483	 0.52400	 0.52400	 2.02527
       7	 0.93453	 0.62851	 1.29120	 1.25578
       8	 0.55714	 0.46780	 0.46780	 0.69069
       9	 0.89990	 0.89798	 0.99330	 2.99836
     All	 0.97703	 0.85251	 1.00000	 1.43023
