Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 1.00000	 0.48710	 0.48710	 0.60383
       2	 1.00000	 0.56390	 0.56390	 1.59671
       3	 1.00000	 0.67506	 0.70550	 0.80137
       4	 1.00000	 0.56930	 0.56930	 0.70378
       5	 1.00000	 0.55410	 0.55410	 0.60085
       6	 1.00000	 0.65669	 0.69450	 0.82536
       7	 1.00000	 0.56690	 0.56690	 1.50513
       8	 1.00000	 0.56190	 0.56190	 1.37500
       9	 1.00000	 0.96828	 0.97670	 0.87132
     All	 0.99999	 0.80640	 1.00000	 0.95684
