Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 1.00000	 0.56490	 0.56490	 1.09228
       2	 0.99997	 0.89273	 0.91590	 1.59415
       3	 1.00000	 0.56150	 0.56150	 0.74958
       4	 0.98185	 0.61008	 1.29640	 1.06979
       5	 1.00000	 0.55700	 0.55700	 2.15426
       6	 1.00000	 0.81629	 0.84440	 3.14461
       7	 1.00000	 0.56850	 0.56850	 4.48946
       8	 0.99960	 0.73917	 0.98780	 2.31625
       9	 0.99975	 0.59641	 1.41120	 1.27182
      10	 0.99878	 0.71699	 1.38090	 1.00421
      11	 1.00000	 0.76074	 0.85190	 2.19452
      12	 1.00000	 0.56510	 0.56510	 2.22453
     All	 0.99168	 0.86844	 1.00000	 1.66086
