Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 1.00000	 0.81967	 0.84670	 0.94483
       2	 1.00000	 0.56440	 0.56440	 1.23092
       3	 1.00000	 0.76561	 0.83090	 0.81095
       4	 0.79554	 0.56320	 0.56320	 0.86562
       5	 0.99982	 0.56410	 0.56410	 1.68588
       6	 1.00000	 0.95738	 0.97410	 0.96226
       7	 1.00000	 0.56730	 0.56730	 3.80419
       8	 0.99539	 0.64449	 0.67550	 1.25152
       9	 0.78554	 0.55310	 0.55310	 0.75984
      10	 0.94016	 0.56800	 0.56800	 2.10581
      11	 0.99693	 0.47100	 0.47100	 2.28639
      12	 1.00000	 0.56780	 0.56780	 2.80160
      13	 0.99978	 0.82262	 0.88220	 1.15015
      14	 1.00000	 0.74780	 0.84210	 1.70656
      15	 1.00000	 0.81806	 0.84440	 0.80610
     All	 0.96208	 0.84243	 1.00000	 1.41833
