Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 1.00000	 0.55680	 0.55680	 1.29466
       2	 1.00000	 0.55920	 0.55920	 0.73796
       3	 1.00000	 0.56700	 0.56700	 1.35054
       4	 0.99983	 0.57140	 0.57140	 1.47780
       5	 1.00000	 0.81809	 0.84430	 1.29668
       6	 1.00000	 0.64799	 0.67880	 0.57344
       7	 0.95769	 0.79847	 1.09680	 1.04651
       8	 1.00000	 0.56160	 0.56160	 0.76832
       9	 1.00000	 0.55690	 0.55690	 1.33694
      10	 1.00000	 0.68060	 0.71110	 1.95201
      11	 1.00000	 0.89127	 0.91340	 1.70390
      12	 1.00000	 0.55640	 0.55640	 0.79982
     All	 0.92770	 0.83184	 1.00000	 1.20999
