Patch_no	Precision	  Recall	Fragments/Patch	   omega
       1	 1.00000	 0.71536	 0.75480	 1.79617
       2	 1.00000	 0.67163	 0.70330	 1.20104
       3	 0.99982	 0.56350	 0.56350	 1.17321
       4	 1.00000	 0.57320	 0.57320	 1.91548
       5	 1.00000	 0.55760	 0.55760	 1.59852
       6	 0.99883	 0.55630	 0.55630	 1.07023
       7	 0.99991	 0.56070	 0.56070	 0.72867
       8	 0.99249	 0.54220	 0.54220	 0.92995
       9	 0.99955	 0.56130	 0.56130	 0.73048
      10	 1.00000	 0.55850	 0.55850	 1.09755
      11	 1.00000	 0.57280	 0.57280	 1.05043
      12	 1.00000	 0.68439	 0.71490	 1.54116
      13	 1.00000	 0.56520	 0.56520	 0.70233
      14	 1.00000	 0.66554	 0.69710	 0.91775
      15	 1.00000	 0.57280	 0.57280	 4.04162
      16	 1.00000	 0.56770	 0.56770	 1.38535
      17	 1.00000	 0.81651	 0.87570	 1.10768
     All	 0.96483	 0.78475	 1.00000	 1.34117
